0,SansHead,ClosedEyes,
0,SansText,...,
0,CombatZoneResize,33,251,608,391
0,HeartTeleport,320,306,,,,,
0,HeartMode,0,,,,,,
0,Ball,400,160,270,230,4
0,Ball,65,160,270,230,4
0.4,SansHead,sans6,
0,SansTorso,sans6
0.003,FlipToAngle,131
0.003,FlipToAngle,132
0.003,FlipToAngle,133
0.003,FlipToAngle,134
0.003,FlipToAngle,135
0.003,FlipToAngle,136
0.003,FlipToAngle,137
0.003,FlipToAngle,138
0.003,FlipToAngle,139
0.003,FlipToAngle,140
0.003,FlipToAngle,141
0.003,FlipToAngle,142
0.003,FlipToAngle,143
0.003,FlipToAngle,144
0.003,FlipToAngle,145
0.003,FlipToAngle,146
0.003,FlipToAngle,147
0.003,FlipToAngle,148
0.003,FlipToAngle,149
0.003,FlipToAngle,150
0.003,FlipToAngle,151
0.003,FlipToAngle,152
0.003,FlipToAngle,153
0.003,FlipToAngle,154
0.003,FlipToAngle,155
0.003,FlipToAngle,156
0.003,FlipToAngle,157
0.003,FlipToAngle,158
0.003,FlipToAngle,159
0.003,FlipToAngle,160
0.003,FlipToAngle,161
0.003,FlipToAngle,162
0.003,FlipToAngle,163
0.003,FlipToAngle,164
0.003,FlipToAngle,165
0.003,FlipToAngle,166
0.003,FlipToAngle,167
0.003,FlipToAngle,168
0.003,FlipToAngle,169
0.003,FlipToAngle,170
0.003,FlipToAngle,171
0.003,FlipToAngle,172
0.003,FlipToAngle,173
0.003,FlipToAngle,174
0.003,FlipToAngle,175
0.003,FlipToAngle,176
0.003,FlipToAngle,177
0.003,FlipToAngle,178
0.003,FlipToAngle,179
0.003,FlipToAngle,180
0,BoneStabRepeat,1,130,2,1,110,30,
4,BlackScreen,1,,,,,,
0,sound,flash,,,,,,
,,,,,,,,
0.2,BlackScreen,0,,,,,,
0,sound,flash,,,,,,
0.00,FlipToAngle,0
0,HeartMode,0
0,HeartTeleport,320,336,,,,,
0.4,BoneVRepeat,508,306,82,2,200,23,15
0.4,BoneV,503,256,190,2,300,1
0.4,BoneV,503,256,190,2,300,2
0.4,BoneV,503,256,190,2,300,1
0.4,BoneV,503,256,190,2,300,2
0.6,BoneV,503,257,75,2,180,
1,BoneVRepeat,133,306,82,0,200,23,15
0.4,BoneVRepeat,508,256,132,2,200,23,15,1
4,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.2,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResize,30,226,600,356,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,BoneV,600,295,65,2,150,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,525,226,65,2,150,,,
0,BoneV,30,226,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,450,295,65,2,150,,,
0,BoneV,105,295,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,375,226,65,2,150,,,
0,BoneV,180,226,65,0,150,,,
0,BoneV,600,226,65,2,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,300,295,65,2,150,,,
0,BoneV,255,295,65,0,150,,,
0,BoneV,525,295,65,2,150,,,
0,BoneV,30,226,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,225,226,65,2,150,,,
0,BoneV,330,226,65,0,150,,,
0,BoneV,450,226,65,2,150,,,
0,BoneV,105,295,65,0,150,,,
0,BoneV,30,295,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,150,295,65,2,150,,,
0,BoneV,405,295,65,0,150,,,
0,BoneV,375,295,65,2,150,,,
0,BoneV,180,226,65,0,150,,,
0,BoneV,105,226,65,0,150,,,
0,BoneV,30,295,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,75,226,65,2,150,,,
0,BoneV,480,226,65,0,150,,,
0,BoneV,300,226,65,2,150,,,
0,BoneV,255,295,65,0,150,,,
0,BoneV,180,295,65,0,150,,,
0,BoneV,105,226,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,0,295,65,2,150,,,
0,BoneV,555,295,65,0,150,,,
0,BoneV,225,295,65,2,150,,,
0,BoneV,330,226,65,0,150,,,
0,BoneV,255,226,65,0,150,,,
0,BoneV,180,295,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,-75,226,65,2,150,,,
0,BoneV,630,226,65,0,150,,,
0,BoneV,150,226,65,2,150,,,
0,BoneV,405,295,65,0,150,,,
0,BoneV,330,295,65,0,150,,,
0,BoneV,255,226,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,-150,295,65,2,150,,,
0,BoneV,705,295,65,0,150,,,
0,BoneV,75,295,65,2,150,,,
0,BoneV,480,226,65,0,150,,,
0,BoneV,405,226,65,0,150,,,
0,BoneV,330,295,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,-150,226,65,2,150,,,
0,BoneV,705,226,65,0,150,,,
0,BoneV,0,226,65,2,150,,,
0,BoneV,555,295,65,0,150,,,
0,BoneV,480,295,65,0,150,,,
0,BoneV,405,226,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,-150,295,65,2,150,,,
0,BoneV,705,295,65,0,150,,,
0,BoneV,-75,295,65,2,150,,,
0,BoneV,630,226,65,0,150,,,
0,BoneV,555,226,65,0,150,,,
0,BoneV,480,295,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,-150,226,65,2,150,,,
0,BoneV,705,226,65,0,150,,,
0,BoneV,-75,226,65,2,150,,,
0,BoneV,630,295,65,0,150,,,
0,BoneV,630,295,65,0,150,,,
0,BoneV,555,226,65,0,150,,,
,,,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,-150,226,65,2,150,,,
0,BoneV,705,226,65,0,150,,,
0,BoneV,-75,226,65,2,150,,,
0,BoneV,630,295,65,0,150,,,
0,BoneV,630,295,65,0,150,,,
0,BoneV,630,295,65,0,150,,,
1,Ball,420,100,270,220,4
0,Ball,65,100,270,220,4
0.6,EndAttack
